case_id,source_title,court,decision_date,text_length_chars,case_category_guess,is_california_state_case,is_federal_case,is_out_of_state_case,contains_criminal_signal,contains_admin_signal,contains_procedure_only_signal,has_full_text,has_potential_fact_background,status,excluded_reason,notes
US_california_2179475,Pritchard v. Sharp,California Court of Appeal,1974-09-03,1588,personal_injury,True,False,False,False,False,True,False,False,fail,no_full_text_or_too_short,
US_california_2119458,"Meininger v. Larwin-Northern California, Inc.",California Court of Appeal,1976-10-27,4886,personal_injury,True,False,False,False,False,True,True,True,fail,insurance_coverage_only_signal,insurance coverage signal present
US_california_1087130,City of Bell v. Super. Ct.,California Court of Appeal,2013-10-25,62985,fraud_damages,True,False,False,True,False,False,True,True,fail,criminal_habeas_signal,
US_california_2643040,People v. Despois CA1/1,California Court of Appeal,2013-11-19,26480,unclear,True,False,False,True,False,False,True,True,fail,criminal_habeas_signal,
US_california_250910,"Washib Ullah v. Richard C. Hoy, Acting District Director, Immigration and Naturalization Service, Los Angeles, California",Court of Appeals for the Ninth Circuit,1960-05-03,7556,unclear,False,True,True,False,False,True,True,False,fail,federal_case,
US_california_1357400,People v. Wickersham,California Supreme Court,1982-09-02,123458,personal_injury,False,False,True,True,False,False,True,True,fail,out_of_state_or_not_california_state,
US_california_2579657,Precision Pay Phones v. Qwest Communications Corp.,"District Court, N.D. California",2002-05-31,40930,unclear,False,True,True,False,False,True,True,True,fail,federal_case,
US_california_690764,"Robert Lee Emery, Jr. v. B. Merkel, Warden Attorney General of the State of California",Court of Appeals for the Ninth Circuit,1995-02-23,5000,unclear,False,True,True,True,False,True,True,False,fail,federal_case,
US_california_706974,"UNITED STATES of America, Plaintiff-Appellee, v. Jario A. MEJIA, Defendant-Appellant",Court of Appeals for the Ninth Circuit,1995-10-26,92686,unclear,False,True,True,True,False,True,True,True,fail,federal_case,
US_california_2645134,United States Ex Rel. Ge v. Takeda Pharmaceutical Co.,Court of Appeals for the First Circuit,2013-12-06,39540,fraud_damages,False,True,True,False,False,False,True,True,fail,federal_case,
US_california_10321,Washington Legal Foundation v. Texas Equal Access to Justice Foundation,Court of Appeals for the Fifth Circuit,1996-09-12,36075,personal_injury,False,True,True,False,False,True,True,True,fail,federal_case,
US_california_2622937,People v. Ceja,California Supreme Court,2008-01-16,251,unclear,False,False,True,True,False,False,False,False,fail,no_full_text_or_too_short,
US_california_2651444,Quezada v. City of Los Angeles,California Court of Appeal,2014-01-28,37312,auto_accident,True,False,False,True,False,False,True,True,fail,criminal_habeas_signal,
US_california_626941,"Rosetta Stone Ltd. v. Google, Inc.",Court of Appeals for the Fourth Circuit,2012-04-09,89837,personal_injury,False,True,True,False,False,True,True,True,fail,federal_case,ip signal present; insurance coverage signal present
US_california_2207143,Baldwin-Lima-Hamilton Corp. v. Superior Court,California Court of Appeal,1962-10-24,51814,unclear,True,False,False,False,True,True,True,True,fail,administrative_public_law_signal,
US_california_2275753,"Morgan v. AT&T Wireless Services, Inc.",California Court of Appeal,2009-09-23,65479,fraud_damages,True,False,False,False,False,True,True,True,warning,,procedure term present but factual background detected
US_california_2256677,Jordan v. City of Santa Barbara,California Court of Appeal,1996-06-03,66916,property_damage,True,False,False,False,True,True,True,True,fail,administrative_public_law_signal,
US_california_2213601,People v. Battles,California Court of Appeal,1966-02-14,3229,personal_injury,True,False,False,True,False,False,True,False,fail,criminal_habeas_signal,
US_california_2605636,In Re Porterfield,California Court of Appeal,1944-03-28,162265,unclear,True,False,False,True,True,False,True,True,fail,criminal_habeas_signal,
US_california_2605967,Board of Trustees v. Munro,California Court of Appeal,1958-09-11,17102,unclear,True,False,False,False,True,False,True,False,fail,administrative_public_law_signal,
US_california_2211845,Lucky Auto Supply v. Turner,California Court of Appeal,1966-09-16,27931,unclear,True,False,False,False,False,False,True,False,fail,no_specific_liability_category,
US_california_103106,Neblett v. Carpenter,Supreme Court of the United States,1939-01-03,13656,personal_injury,False,False,True,False,False,False,True,True,fail,out_of_state_or_not_california_state,insurance coverage signal present
US_california_2207968,Cooper v. Mart Associates,California Court of Appeal,1964-02-24,24801,unclear,True,False,False,False,False,False,True,True,fail,insurance_coverage_only_signal,insurance coverage signal present
US_california_2134370,Foundation for San Francisco's Architectural Heritage v. City of San Francisco,California Court of Appeal,1980-06-12,52097,unclear,True,False,False,False,True,False,True,True,fail,administrative_public_law_signal,
US_california_408235,"Patricia Langager and Leroy Langager, Husband and Wife v. Lake Havasu Community Hospital",Court of Appeals for the Ninth Circuit,1982-09-22,16908,personal_injury,False,True,True,False,False,True,True,True,fail,federal_case,
US_california_2215461,J. C. Wattenbarger & Sons v. Sanders,California Court of Appeal,1963-05-21,20133,unclear,True,False,False,False,False,True,True,False,fail,attorney_fee_only_signal,
US_california_2608078,Nichols v. Superior Court,California Supreme Court,1934-10-03,27285,fraud_damages,False,False,True,False,False,True,True,True,fail,out_of_state_or_not_california_state,
US_california_2608955,Warden v. City of Los Angeles,California Supreme Court,1975-01-13,10306,auto_accident,False,False,True,True,False,False,True,True,fail,out_of_state_or_not_california_state,
US_california_317829,United States v. Larry Dean Short,Court of Appeals for the Ninth Circuit,1974-03-18,8975,unclear,False,True,True,True,False,False,True,True,fail,federal_case,insurance coverage signal present
US_california_754614,"Virginia Surety Company, an Illinois Corporation v. Northrop Grumman Corporation, a Delaware Corporation",Court of Appeals for the Ninth Circuit,1998-05-27,24099,personal_injury,False,True,True,True,False,False,True,True,fail,federal_case,insurance coverage signal present
US_california_2611506,Balfour v. Heuer,California Court of Appeal,1946-12-12,3525,product_liability,True,False,False,False,False,False,True,False,fail,insurance_coverage_only_signal,insurance coverage signal present
US_california_242350,Sun-Maid Raisin Growers of California v. California Packing Corporation,Court of Appeals for the Ninth Circuit,1957-01-16,4764,unclear,False,True,True,False,False,False,True,True,fail,federal_case,
US_california_1410421,Grolemund v. Cafferata,California Supreme Court,1941-03-28,23435,auto_accident,False,False,True,False,False,False,True,True,fail,out_of_state_or_not_california_state,
US_california_94588,Scott v. Donald,Supreme Court of the United States,1897-01-18,27705,personal_injury,False,False,True,True,True,False,True,False,fail,out_of_state_or_not_california_state,
US_california_419673,"G.I. Trucking Company, La Salle Trucking Company, and California Cartage Company v. The United States of America and the Interstate Commerce Commission",Court of Appeals for the Ninth Circuit,1983-06-22,5871,auto_accident,False,True,True,False,True,False,True,True,fail,federal_case,
US_california_87106,United States v. Sutherland,Supreme Court of the United States,1857-03-18,8018,unclear,False,False,True,False,False,False,True,False,fail,out_of_state_or_not_california_state,ip signal present
US_california_2579264,Wiley v. CENDANT CORP. SHORT TERM DISABILITY PLAN,"District Court, N.D. California",2009-07-07,12523,unclear,False,True,True,False,False,True,True,True,fail,federal_case,insurance coverage signal present
US_california_2605286,Gottsche v. Attorney General of United States of America,California Court of Appeal,1958-05-06,20729,unclear,True,False,False,False,False,False,True,True,fail,no_liability_damages_keyword,
US_california_110587,Widmar v. Vincent,Supreme Court of the United States,1981-12-08,112718,unclear,False,False,True,False,False,True,True,False,fail,out_of_state_or_not_california_state,
US_california_2612760,Sala v. Security Title Insurance & Guarantee Co.,California Court of Appeal,1938-07-22,24409,fraud_damages,True,False,False,False,False,False,True,True,fail,insurance_coverage_only_signal,insurance coverage signal present
US_california_349989,"Mark Alan Blackburn v. United States District Court for the Northern District of California, United States of America, Real Party in Interest",Court of Appeals for the Ninth Circuit,1977-11-11,7530,unclear,False,True,True,False,True,False,True,False,fail,federal_case,
US_california_245107,"Preston A. Parkinson v. The California Company, a Corporation, and Stanolind Oil & Gas Company, a Corporation",Court of Appeals for the Tenth Circuit,1958-04-08,17062,auto_accident,False,True,True,False,False,True,True,True,fail,federal_case,
US_california_1426563,Sonleitner v. Superior Court,California Court of Appeal,1958-03-06,12201,personal_injury,True,False,False,True,False,True,True,False,fail,criminal_habeas_signal,
US_california_2674883,California Ex Rel. Imperial County Air Pollution Control District v. U.S. Department of the Interior,Court of Appeals for the Ninth Circuit,2014-05-19,53528,personal_injury,False,True,True,False,False,True,True,False,fail,federal_case,
US_california_1199490,Bollotin v. Workman Service Co.,California Court of Appeal,1954-10-25,8127,unclear,True,False,False,False,True,False,True,True,fail,administrative_public_law_signal,
US_california_107077,Jordan v. Silver,Supreme Court of the United States,1965-06-01,23111,unclear,False,False,True,False,False,False,True,False,fail,out_of_state_or_not_california_state,
US_california_2404420,"Johnson v. Mitsubishi Digital Electronics America, Inc.","District Court, C.D. California",2008-09-24,37537,fraud_damages,False,True,True,False,False,True,True,True,fail,federal_case,
US_california_2430037,Silk v. Metropolitan Life Insurance,"District Court, C.D. California",2007-02-20,11746,unclear,False,True,True,False,False,True,True,True,fail,federal_case,insurance coverage signal present
US_california_2163077,McMillin v. Ventura Savings & Loan Ass'n,California Court of Appeal,1971-02-24,1791,unclear,True,False,False,False,False,True,False,False,fail,no_full_text_or_too_short,
US_california_534644,"Pacific Enterprises Oil Company, a California Corporation v. Charles S. Hertz",Court of Appeals for the Tenth Circuit,1990-01-10,15217,personal_injury,False,True,True,False,False,True,True,False,fail,federal_case,
US_california_2671515,Shell Oil Company v. United States,Court of Appeals for the Federal Circuit,2014-04-28,174186,personal_injury,False,True,True,False,False,True,True,True,fail,federal_case,
US_california_2678201,People v. Rodriguez CA2/6,California Court of Appeal,2014-06-12,10259,unclear,True,False,False,True,False,False,True,True,fail,criminal_habeas_signal,
US_california_2579177,Stankewitz v. Wong,"District Court, E.D. California",2009-10-15,43612,personal_injury,False,True,True,True,False,True,True,True,fail,federal_case,
US_california_1804454,"United States v. Iron Mountain Mines, Inc.","District Court, E.D. California",1997-09-30,21507,unclear,False,True,True,False,False,True,True,True,fail,federal_case,
US_california_2604281,Brown v. Poway Unified School District,California Supreme Court,1993-01-21,105837,personal_injury,False,False,True,False,False,True,True,True,fail,out_of_state_or_not_california_state,
US_california_2617883,Barder v. McClung,California Court of Appeal,1949-09-21,11516,fraud_damages,True,False,False,False,False,False,True,True,pass,,
US_california_2676138,Ram Pizza v. Super. Ct. CA4/2,California Court of Appeal,2014-05-28,3911,contract_damages,True,False,False,False,True,False,True,False,fail,administrative_public_law_signal,
US_california_591538,Beverly California Corp. v. National Labor Relations Board,Court of Appeals for the Fourth Circuit,1992-09-11,5294,personal_injury,False,True,True,False,False,True,True,True,fail,federal_case,
US_california_1800993,People v. Williams,California Court of Appeal,1970-08-21,14966,auto_accident,True,False,False,True,False,False,True,True,fail,criminal_habeas_signal,
US_california_2533747,Clement v. California Department of Corrections,"District Court, N.D. California",2002-09-09,54342,unclear,False,True,True,True,True,True,True,True,fail,federal_case,
US_california_2686004,"Quinn, Emanuel Urquhart & Sullivan v. Kurtin CA2/5",California Court of Appeal,2014-07-28,28521,professional_negligence,True,False,False,False,False,True,True,True,fail,attorney_fee_only_signal,
US_california_2682110,"Suhail Al Shimari v. CACI Premier Technology, Inc.",Court of Appeals for the Fourth Circuit,2014-06-30,65148,unclear,False,True,True,True,False,False,True,False,fail,federal_case,
US_california_2582056,"438 Main Street v. Easy Heat, Inc.",Utah Supreme Court,2004-08-24,66910,personal_injury,False,False,True,False,False,True,True,True,fail,out_of_state_or_not_california_state,
US_california_2582186,People v. King,California Supreme Court,2006-05-15,28311,unclear,False,False,True,True,False,False,True,False,fail,out_of_state_or_not_california_state,
US_california_415463,"National Labor Relations Board v. Neuro Affiliates Company, a Joint Venture Between American Psychiatric Hospital of California and N.P.H.S., Dba Woodview-Calabasa Hospital",Court of Appeals for the Ninth Circuit,1983-03-24,14175,auto_accident,False,True,True,False,False,True,True,True,fail,federal_case,
US_california_1157726,Socol v. King,California Supreme Court,1950-11-13,14144,personal_injury,False,False,True,False,False,False,True,True,fail,out_of_state_or_not_california_state,
US_california_681690,"J. Bruce McCubbrey Donald L. Bartels, Virginia H. Meyer, Calvin B. Ward, and McCubbrey Bartels, Meyer & Ward, a California Partnership v. Dolores M. Veninga, George Hook and McBride Baker & Coles, an Illinois Partnership",Court of Appeals for the Ninth Circuit,1994-11-09,7582,professional_negligence,False,True,True,True,False,True,True,True,fail,federal_case,
US_california_740019,"Arthur Calderon, Warden, California State Prison, San Quentin v. United States District Court for the Central District of California",Court of Appeals for the Ninth Circuit,1997-04-17,20279,unclear,False,True,True,True,True,True,True,True,fail,federal_case,
US_california_2584879,People v. Allen,California Supreme Court,2008-07-28,82415,unclear,False,False,True,True,False,False,True,False,fail,out_of_state_or_not_california_state,
US_california_89558,Van Reynegan v. Bolton,Supreme Court of the United States,1877-10-29,7146,personal_injury,False,False,True,False,False,False,True,False,fail,out_of_state_or_not_california_state,ip signal present
US_california_2684843,People v. Prieto CA3,California Court of Appeal,2014-07-18,8192,auto_accident,True,False,False,True,False,False,True,True,fail,criminal_habeas_signal,
US_california_2680457,"In Re Nintendo of America, Inc.",Court of Appeals for the Federal Circuit,2014-06-25,9499,product_liability,False,True,True,False,True,False,True,False,fail,federal_case,ip signal present
US_california_2685449,In re Bianca G. CA2/1,California Court of Appeal,2014-07-23,15413,unclear,True,False,False,True,True,False,True,True,fail,criminal_habeas_signal,
US_california_104499,United States v. State of California,Supreme Court of the United States,1947-10-27,3644,unclear,False,False,True,False,False,False,True,False,fail,out_of_state_or_not_california_state,
US_california_2685612,In re L.Y. CA2/5,California Court of Appeal,2014-07-24,22057,auto_accident,True,False,False,False,True,False,True,True,fail,administrative_public_law_signal,
US_california_2685636,In re A.A. CA2/1,California Court of Appeal,2014-07-24,34408,personal_injury,True,False,False,False,True,False,True,True,fail,administrative_public_law_signal,
US_california_361348,"Dennis Milhollin and Michelle Milhollin v. Ford Motor Credit Co., a Corporation, and Dee Thomason Ford, a Corporation, Dennis Milhollin and Michelle Milhollin, Plaintiffs-Cross v. Ford Motor Credit Co., a Corporation, and Dee Thomason Ford, a Corporation, Defendants-Cross Donna M. Eaton v. Ford Motor Credit Co., a Corporation, Bud Meadows Mazda, Inc., Darrell Messinger v. Ford Motor Credit Co., a Corporation, and Marv Tonkin Ford Sales, Inc., a Corporation, David P. Andresen v. Ford Motor Credit Co., a Corporation, and Webster-Wolfard Ford, Inc., a Corporation, and the California Loan and Finance Association, Amicus Curiae",Court of Appeals for the Ninth Circuit,1978-12-28,19456,personal_injury,False,True,True,False,False,False,True,True,fail,federal_case,
US_california_1123339,City of Los Angeles v. Tannahill,California Court of Appeal,1951-07-18,13625,auto_accident,True,False,False,False,False,False,True,False,fail,no_liability_damages_keyword,
US_california_1134142,Chambers v. Duvall,California Supreme Court,1945-03-13,10133,unclear,False,False,True,False,True,False,True,True,fail,out_of_state_or_not_california_state,
US_california_1872725,In Re Huerta,"United States Bankruptcy Court, C.D. California",1992-02-28,76773,unclear,False,False,True,False,True,True,True,True,fail,out_of_state_or_not_california_state,
US_california_434749,"Southwest Marine, Inc., a California Corporation v. Campbell Industries, a California Corporation San Diego Marine Construction Corp., a California Corporation National Steel and Shipbuilding Co., a Nevada Corporation Triple a MacHine Shop, Inc., a California Corporation and San Diego Unified Port District, a California Corporation, Southwest Marine, Inc., a California Corporation v. Campbell Industries, a California Corporation, National Steel and Shipbuilding Co. And Triple ""A"" MacHine Shop, Inc.",Court of Appeals for the Ninth Circuit,1984-07-11,9782,unclear,False,True,True,False,False,True,True,False,fail,federal_case,
US_california_118347,Food & Drug Administration v. Brown & Williamson Tobacco Corp.,Supreme Court of the United States,2000-03-28,274609,product_liability,False,False,True,False,False,False,True,False,fail,out_of_state_or_not_california_state,
US_california_1113654,Scarbourough v. Briggs,California Court of Appeal,1947-08-04,17832,unclear,True,False,False,False,False,True,True,False,fail,procedure_only_signal,
US_california_1114580,People v. Jacobs,California Court of Appeal,1952-05-23,6926,unclear,True,False,False,True,False,False,True,True,fail,criminal_habeas_signal,
US_california_1117178,Dougherty v. Lee,California Court of Appeal,1946-04-23,14570,unclear,True,False,False,False,False,False,True,True,pass,,
US_california_1117199,Otten v. San Francisco Hotel Owners Ass'n,California Court of Appeal,1946-05-02,4997,personal_injury,True,False,False,False,False,False,True,False,fail,no_liability_damages_keyword,
