case_id,origin_country,origin_state,primary_domain,case_domain,source_grounding_status,legal_leakage_status,legal_leakage_evidence,jurisdiction_leakage_status,jurisdiction_leakage_evidence,translation_equivalence_status,translation_equivalence_issues,translation_equivalence_warnings,fact_id_alignment_status,fact_has_parties,fact_has_conduct,fact_has_context,fact_has_timeline,fact_has_harm,fact_has_causation,fact_has_defense_context,fact_has_causal_sequence,mandatory_fact_dimensions,missing_mandatory_fact_dimensions,core_fact_sufficient,fact_sufficiency_score,preferred_fact_sufficiency,factual_background_sufficient,deterministic_qc_issues,llm_qc_status,llm_qc_findings,manual_review_recommended,final_eligible
KR_15f616454feb5baced,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],[],pass,True,True,True,False,True,True,False,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,5,True,True,[],not_run,[],False,True
KR_2938a7d8dec5b2a57e,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""number_mismatch"",""unit_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],True,True
KR_92b1ce3452f5861ba4,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],[],pass,True,True,True,True,True,True,False,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,6,True,True,[],not_run,[],False,True
KR_c6d493a48f0b6b6912,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""negation_presence_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],False,True
KR_f92051e8c5598d8ccc,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""number_mismatch""]",pass,True,True,True,True,True,True,False,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,6,True,True,[],pass,[],False,True
KR_16747477bbb419c699,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],[],pass,True,True,True,False,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,6,True,True,[],not_run,[],True,True
KR_94e863154231995db3,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""number_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],False,True
KR_c9b0b61cc030200a6a,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],[],pass,True,True,True,True,True,True,False,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,6,True,True,[],not_run,[],False,True
KR_d0cfadb984b62f020b,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""number_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],False,True
KR_0dcfdd46d74a8951e1,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""negation_presence_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],False,True
KR_655f2386b561c2a84a,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""number_mismatch"",""negation_presence_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],False,True
KR_d5131e7c37df509266,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""number_mismatch""]",pass,True,True,True,False,True,True,False,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,5,True,True,[],pass,[],False,True
KR_29de6fa2d32993658e,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],[],pass,True,True,True,True,True,True,False,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,6,True,True,[],not_run,[],False,True
KR_61112d3135e80de786,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],[],pass,True,True,False,True,True,True,False,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,5,True,True,[],not_run,[],False,True
KR_ce03d7157e09c4d242,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],[],pass,True,True,False,True,True,True,False,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,5,True,True,[],not_run,[],False,True
KR_bd5712bcc29293f8e7,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""number_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],False,True
KR_934df9d2f48650c256,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""unit_mismatch"",""negation_presence_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],False,True
KR_c7ec53e12d00dabce6,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],[],pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],not_run,[],False,True
KR_d9b3ee3b261df8b463,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""number_mismatch""]",pass,True,True,True,False,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,6,True,True,[],pass,[],False,True
KR_7be1ae9174eea5f5f2,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""negation_presence_mismatch"",""unit_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],False,True
KR_ac6643f28f1a875a1b,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""number_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],True,True
KR_21e5cc81eee32db79e,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""negation_presence_mismatch""]",pass,True,True,True,True,True,True,True,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,7,True,True,[],pass,[],True,True
KR_b24448d722a0190549,KR,,general_negligence_personal_injury,general_negligence_personal_injury,pass,pass,"{""en"":[],""ko"":[]}",pass,"{""en"":[],""ko"":[]}",pass,[],"[""number_mismatch"",""unit_mismatch""]",pass,True,True,True,False,True,True,False,True,"{""fact_has_causation"":true,""fact_has_conduct"":true,""fact_has_harm"":true,""fact_has_parties"":true}",[],True,5,True,True,[],pass,[],False,True
