case_id,case_family_id,origin_country,origin_state,court_name,court_level,court_level_confidence,decision_date,case_number_or_citation,primary_domain,case_domain,liability_theories,secondary_tags,analysis_split,main_source_case_id,lower_court_supplemented,lower_court_case_ids,fact_sufficiency_score,neutral_fact_source_language,neutral_fact_source_chars,neutral_fact_ko_chars,neutral_fact_en_chars,jurisdiction_salience_level,jurisdiction_salience_tags,remedy_salience_level,legal_leakage_status,jurisdiction_leakage_status,translation_equivalence_status,source_grounding_status,final_eligible,raw_text_sha256,neutral_fact_source_sha256,neutral_fact_ko_sha256,neutral_fact_en_sha256
KR_15f616454feb5baced,FAM_527615ccdf0ad19e,KR,,대법원,supreme,high,2018-12-28,2016다33196,general_negligence_personal_injury,general_negligence_personal_injury,"[""comparative_fault""]","[""comparative_fault""]",development,KR_15f616454feb5baced,False,[],7,ko,694,694,1590,low,[],low,pass,pass,pass,pass,True,f0cecc8b7c050327ac0ba9531b992d12b57e323b5b147d425c87fd22e79f84d7,35e007938cfb6ee518e31a577baa675e41e043d5f8c6f27b063a7f5cd11e25c5,35e007938cfb6ee518e31a577baa675e41e043d5f8c6f27b063a7f5cd11e25c5,d507de6a0cf6a3f50eb9071b37c58880419f2f49651be0a8fd0ed386e9a6fbc0
KR_2938a7d8dec5b2a57e,FAM_dc72f7ef5a1066f1,KR,,대법원,supreme,high,2022-09-29,2022다238657,general_negligence_personal_injury,general_negligence_personal_injury,"[""vicarious_liability"",""negligent_supervision"",""comparative_fault""]","[""vicarious_liability"",""negligent_supervision"",""comparative_fault""]",confirmatory,KR_2938a7d8dec5b2a57e,False,[],7,ko,1217,1217,2835,low,[],low,pass,pass,pass,pass,True,8e5d63f655ca6932db84995c948d11ac7dabd84074f9ff4c07aa36994a08ae53,7731f9718d33d189efbc76deb1d717d348410ae119b34ab69ee58609ff6ad7e9,7731f9718d33d189efbc76deb1d717d348410ae119b34ab69ee58609ff6ad7e9,c0fde72104f4c5a938bb51d5266cf5ed96b983707dbb614f99aa49dda4f0a140
KR_92b1ce3452f5861ba4,FAM_95099ba70273effb,KR,,대법원,supreme,high,2010-04-29,2009다99105,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_92b1ce3452f5861ba4,False,[],6,ko,356,356,670,low,[],low,pass,pass,pass,pass,True,c4c595ccc9f1787cfeb5abea954f30bcd320c363506069c78efbad3a1bc60d02,505c3586d09400b82fc8fc315b4401a7b8bbf42a9f9471b087f6164566e0734c,505c3586d09400b82fc8fc315b4401a7b8bbf42a9f9471b087f6164566e0734c,73862f49f3594cc95c1011e332af21c6df97fe0ab1c5fcf2c393ee434c2db54e
KR_c6d493a48f0b6b6912,FAM_f45dc37277812f49,KR,,대법원,supreme,high,2002-05-28,2002다5019,general_negligence_personal_injury,general_negligence_personal_injury,"[""wrongful_death""]","[""wrongful_death""]",confirmatory,KR_c6d493a48f0b6b6912,False,[],6,ko,478,478,1062,low,[],low,pass,pass,pass,pass,True,0572ae441f5ddfe90d93db7e280c26c80e522a8d50f5bc9f05f2f9b7a2098ab6,cc0fe5e98b31faf347a899d67145bf69d71223a3d5b1392d5b3694451017b9ba,cc0fe5e98b31faf347a899d67145bf69d71223a3d5b1392d5b3694451017b9ba,a8a64918443ac20235b1652ca847bfc3c71f66181d70246bedc028fa547ce1c1
KR_f92051e8c5598d8ccc,FAM_c3b5fe6a78f98fda,KR,,대법원,supreme,high,2007-11-15,2004다2786,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_f92051e8c5598d8ccc,False,[],7,ko,944,944,2027,low,[],low,pass,pass,pass,pass,True,f825c0e5cd3df6d1199f127bfa39ea81a24304ed7458de941c873d645ec22977,1e83771168243a6ba1d0afd36c939e2d4ec0ac8eaf1938510b7112b0b6b6c25e,1e83771168243a6ba1d0afd36c939e2d4ec0ac8eaf1938510b7112b0b6b6c25e,bf76b2ace689eb1c4d161cb72956c26a0034fd32044a2084590e8363738de3dc
KR_16747477bbb419c699,FAM_6f4c78847bfa7e14,KR,,대법원,supreme,high,2002-05-24,2000다42540,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_16747477bbb419c699,False,[],6,ko,1141,1141,2164,low,[],low,pass,pass,pass,pass,True,a72a444518989b32d16f4771b37cde0308abc362c3323fb601f3fb934a368ee3,37c894c3c1a11004cfbc97afd579512e762ec5a6589eb0e69f84ffdc47d5b79c,37c894c3c1a11004cfbc97afd579512e762ec5a6589eb0e69f84ffdc47d5b79c,717977e10f1779428aaee26de8f13f4a8d896c810f9748c97a3e8182c82a3338
KR_94e863154231995db3,FAM_c03d012d536e2ffa,KR,,대법원,supreme,high,2001-03-23,99다33397,general_negligence_personal_injury,general_negligence_personal_injury,"[""comparative_fault""]","[""comparative_fault""]",confirmatory,KR_94e863154231995db3,False,[],7,ko,903,903,2161,low,[],low,pass,pass,pass,pass,True,e4fed387282fd8ce7e9f91e4479b56449ee0c1594d9f904b693b7e769d92207b,f8daae71cbe5e5f7c0230ac9908cf14cca6ff4a800270368041f4b81371c1dca,f8daae71cbe5e5f7c0230ac9908cf14cca6ff4a800270368041f4b81371c1dca,03174f81d460355a5e0b124eccf5a76ad2bd158ed3b4d1356b430c11cab110ac
KR_c9b0b61cc030200a6a,FAM_291d40d6419fc9c5,KR,,대법원,supreme,high,2008-05-15,2006다46094,general_negligence_personal_injury,general_negligence_personal_injury,[],[],development,KR_c9b0b61cc030200a6a,False,[],7,ko,1384,1384,2604,low,[],low,pass,pass,pass,pass,True,b60428544a9ad2e973df7d7cf03859b9318c5c1f8ad3665001b511bb1a01dd86,6883169914282869aa6d6123f05dfbfebb2f5e3fa24ab95f7326857d32c98ff3,6883169914282869aa6d6123f05dfbfebb2f5e3fa24ab95f7326857d32c98ff3,9f9e8d4f7400e6f1d2b51d82d651bea460b136521d6ac986f1f1570fa58d2a43
KR_d0cfadb984b62f020b,FAM_fa2ff8c750e4f451,KR,,대법원,supreme,high,2009-12-24,2007다77149,general_negligence_personal_injury,general_negligence_personal_injury,"[""wrongful_death"",""intentional_misconduct""]","[""wrongful_death"",""intentional_misconduct""]",confirmatory,KR_d0cfadb984b62f020b,False,[],7,ko,504,504,1104,low,[],low,pass,pass,pass,pass,True,b6abc63ad7adacfde17012a78d2dd98fe9a27b7eb704b98de17211b7b0eb7f64,475aa290197ad21a5d31a668f8dfe871ca80c0ad0b73c9bdb2114111a001bfc6,475aa290197ad21a5d31a668f8dfe871ca80c0ad0b73c9bdb2114111a001bfc6,019e58796904c9c9ea981c38bf7f9ac856e7cc6f329fad17e2f893714a780149
KR_0dcfdd46d74a8951e1,FAM_ea55f8dbe250db29,KR,,대법원,supreme,high,2007-05-31,2007다248,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_0dcfdd46d74a8951e1,False,[],7,ko,1066,1066,2108,low,[],low,pass,pass,pass,pass,True,9fc1a9ca17256ea00e0fefe3d8cff0a192133cb356619e7fa514f961b674649d,ea737ab7e26aa51a82910a78d49fd6914a1b1d3d0417861a36a2602a8c090a62,ea737ab7e26aa51a82910a78d49fd6914a1b1d3d0417861a36a2602a8c090a62,558f1e09825d7f4e4a6b8c1abd7ee223b9ae4a144b0da98f4f54b6b187f162a5
KR_655f2386b561c2a84a,FAM_4322813672e76d27,KR,,대법원,supreme,high,2009-05-28,2006다32354,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_655f2386b561c2a84a,False,[],7,ko,912,912,1896,low,[],low,pass,pass,pass,pass,True,c41b0f97feaf22750696f63baa42d45acf7e2eab7269bbe9417f1260cb82d750,5b48feb30cebe6e6bc0ee29f09dece5e34e68506e7e7994f394a1ca28e28eabc,5b48feb30cebe6e6bc0ee29f09dece5e34e68506e7e7994f394a1ca28e28eabc,6a6324e0ad8a9b6c4b2fdb310693e462dc464dd2cdcf44d7bdc79f1ae6f6d9a5
KR_d5131e7c37df509266,FAM_eefc8d67ddcf6a45,KR,,대법원,supreme,high,2006-11-10,2005다35516,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_d5131e7c37df509266,False,[],6,ko,306,306,563,low,[],low,pass,pass,pass,pass,True,822976260d559d8d5287c341e212417d0bea59f1d08a7d60f05d058e7ba9739e,91a40cd1abca67f1d0aed8ac735d8ae31fa8489cd19230505272dc16ede244b1,91a40cd1abca67f1d0aed8ac735d8ae31fa8489cd19230505272dc16ede244b1,0aa6885de02d12d060b0f968f806129a3f5259da45bdd95048c27ad0326a35e1
