state,region,primary_court_jurisdiction,total_state_supreme_cases,civil_liability_candidate_count,general_negligence_count,medical_professional_count,product_liability_count,employer_supervision_count,published_count,usable_full_text_count,usable_full_text_count_method,domain_coverage_count,selection_score
Alabama,South,"Alabama, AL",8571,31,0,1,19,0,8571,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,2,938
Alaska,West,"Alaska, AK",2519,26,2,4,3,0,2519,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,352
Arizona,West,"Arizona, AZ",1185,68,0,6,4,25,1161,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,259
Arkansas,South,"Arkansas, AR",6117,161,29,14,17,11,6117,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,872
California,West,"California, CA",3241,24,1,0,7,5,3241,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,423
Colorado,West,"Colorado, CO",2392,88,10,7,12,4,2392,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,427
Connecticut,Northeast,"Connecticut, CT",8853,20,2,0,11,3,8853,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,980
Delaware,South,"Delaware, DE",10219,78,5,3,12,4,10219,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,1199
Florida,South,"Florida, FL",10407,44,7,11,6,0,10407,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,1159
Georgia,South,"Georgia, GA",8306,17,0,0,7,0,8306,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,1,872
Hawaii,West,"Hawaii, HI",4796,33,2,4,2,2,4796,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,612
Idaho,West,"Idaho, ID",3254,248,2,13,9,1,3254,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,673
Illinois,Midwest,"Illinois, IL",10314,52,0,0,12,2,10167,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,2,1118
Indiana,Midwest,"Indiana, IN",8408,46,6,0,12,18,8408,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,961
Iowa,Midwest,"Iowa, IA",4202,137,9,3,7,22,4202,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,657
Kansas,Midwest,"Kansas, KS",5757,17,0,0,11,0,5729,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,1,614
Kentucky,South,"Kentucky, KY",4783,28,9,2,6,0,2721,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,375
Louisiana,South,"Louisiana, LA",66339,707,9,67,233,155,66339,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,7440
Maine,Northeast,"Maine, ME",4175,18,0,1,6,0,4175,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,2,485
Maryland,South,"Maryland, MD",10559,34,7,3,3,15,10559,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,1189
Massachusetts,Northeast,"Massachusetts, MA",4794,14,0,0,4,0,4794,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,1,518
Michigan,Midwest,"Michigan, MI",42637,154,4,5,62,7,42637,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,4517
Minnesota,Midwest,"Minnesota, MN",3533,35,6,5,7,0,3533,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,463
Mississippi,South,"Mississippi, MS",7781,211,74,29,19,64,7781,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,1089
Missouri,Midwest,"Missouri, MO",1861,35,20,3,7,0,1861,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,296
Montana,West,"Montana, MT",19089,613,0,1,7,5,10945,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,1782
Nebraska,Midwest,"Nebraska, NE",27672,108,2,0,5,29,27672,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,2950
Nevada,West,"Nevada, NV",16797,413,100,11,26,2,12841,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,1797
New Hampshire,Northeast,"New Hampshire, NH",3032,14,0,1,4,0,3032,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,2,367
New Jersey,Northeast,"New Jersey, NJ",14870,156,12,10,25,8,14870,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,1743
New Mexico,West,"New Mexico, NM",2964,25,4,0,9,0,2943,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,2,369
New York,Northeast,"New York, NY",22825,245,6,7,42,105,22825,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,2627
North Carolina,South,"North Carolina, NC",23816,146,27,1,40,9,23816,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,2627
North Dakota,Midwest,"North Dakota, ND",7066,139,44,17,20,20,7066,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,945
Ohio,Midwest,"Ohio, OH",27325,58,0,0,27,2,27325,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,2,2840
Oklahoma,South,"Oklahoma, OK",6036,204,61,26,65,1,6036,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,907
Oregon,West,"Oregon, OR",13544,234,2,2,18,168,13544,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,1688
Pennsylvania,Northeast,"Pennsylvania, PA",50959,501,17,38,139,153,50959,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,5696
Rhode Island,Northeast,"Rhode Island, RI",3475,16,1,4,4,1,3403,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,456
South Carolina,South,"South Carolina, SC",4192,34,4,5,17,1,4192,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,553
South Dakota,Midwest,"South Dakota, SD",3308,53,7,2,9,4,3308,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,483
Tennessee,South,"Tennessee, TN",1941,93,3,1,4,0,1941,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,362
Texas,South,"Texas, TX",7844,106,7,7,61,1,7844,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,990
Utah,West,"Utah, UT",3167,80,1,1,10,0,3167,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,471
Vermont,Northeast,"Vermont, VT",4645,34,0,0,5,13,4495,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,2,533
Virginia,South,"Virginia, VA",2436,61,1,0,7,42,2436,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,379
Washington,West,"Washington, WA",11024,28,3,0,6,0,11024,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,2,1180
West Virginia,South,"West Virginia, WV",11667,2511,2330,41,92,0,11107,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,3,3696
Wisconsin,Midwest,"Wisconsin, WI",6329,133,3,9,14,6,6329,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,865
Wyoming,West,"Wyoming, WY",3815,323,14,4,35,5,3815,0,deferred_to_candidate_collection; metadata audit does not download nested opinion text,4,804
