feature,n_KR,n_US,KR_mean,US_mean,KR_median,US_median,cliffs_delta_KR_vs_US,ci_95_low,ci_95_high,effect_size
precedent_citation_count,50,50,0.2,30.5,0.0,14.0,-0.9696,-0.9992,-0.918,large
precedent_per_1k,50,50,0.151794,5.992938,0.0,3.9409,-0.95,-0.9992,-0.88279,large
doctrine_per_1k,50,50,11.804496,0.774466,9.748,0.07295,0.9496,0.8944,0.98722,large
citation_count,50,50,1.48,33.06,1.0,14.0,-0.906,-0.97721,-0.8108,large
doc_length_sentences,50,50,34.26,174.1,23.5,172.0,-0.8804,-0.9708,-0.7692,large
procedure_term_count,50,50,2.96,17.04,1.0,12.0,-0.8528,-0.948,-0.73719,large
doc_length_tokens,50,50,1218.54,4184.96,697.5,3800.0,-0.8028,-0.9184,-0.6616,large
citation_density,50,50,1.539214,6.53671,0.50265,4.7249,-0.736,-0.868,-0.57879,large
remedy_per_1k,50,50,5.75252,1.841084,4.2919,0.355,0.6696,0.4872,0.82841,large
doctrine_term_count,50,50,10.86,3.54,7.0,0.5,0.6332,0.4564,0.7896,large
party_arg_density,50,50,4.82527,0.386866,3.00775,0.0,0.6004,0.4296,0.7624,large
jurisdiction_mention_count,50,50,1.78,6.38,0.0,3.5,-0.4988,-0.6776,-0.3036,large
procedure_per_1k,50,50,3.295426,4.92287,1.4899,3.75645,-0.3928,-0.5984,-0.17118,medium
conclusion_position,50,50,0.479052,0.15216,0.5474,0.14565,0.3396,0.11639,0.55921,medium
avg_sentence_length,50,50,38.5828,24.5944,29.64,23.975,0.3116,0.084,0.5248,small
remedy_term_count,50,50,5.18,6.86,3.0,1.5,0.2328,0.00319,0.45321,small
jurisdiction_per_1k,50,50,1.924572,1.482502,0.0,0.94225,-0.228,-0.4512,0.0024,small
statute_per_1k,50,50,1.38742,0.543772,0.0,0.0,0.1968,0.0024,0.3864,small
statute_ref_count,50,50,1.28,2.56,0.0,0.0,0.056,-0.1456,0.25881,negligible
