case_id,jurisdiction,doc_length_tokens,doc_length_sentences,avg_sentence_length,statute_ref_count,precedent_citation_count,citation_count,doctrine_term_count,remedy_term_count,procedure_term_count,jurisdiction_mention_count,statute_per_1k,precedent_per_1k,citation_density,doctrine_per_1k,remedy_per_1k,procedure_per_1k,jurisdiction_per_1k,conclusion_position,party_arg_density
59276,KR,633,26,24.35,1,0,1,6,5,3,0,1.5798,0.0,1.5798,9.4787,7.8989,4.7393,0.0,0.5021,15.7978
62140,KR,1202,37,32.49,3,0,3,3,3,4,2,2.4958,0.0,2.4958,2.4958,2.4958,3.3278,1.6639,0.2337,0.0
127741,KR,231,14,16.5,0,0,0,4,2,0,1,0.0,0.0,0.0,17.316,8.658,0.0,4.329,0.9739,34.632
1804,KR,852,40,21.3,0,0,0,3,1,0,3,0.0,0.0,0.0,3.5211,1.1737,0.0,3.5211,0.2133,5.8685
147232,KR,1718,28,61.36,4,0,4,1,1,0,0,2.3283,0.0,2.3283,0.5821,0.5821,0.0,0.0,0.5558,0.0
22851,KR,165,15,11.0,0,0,0,1,1,4,0,0.0,0.0,0.0,6.0606,6.0606,24.2424,0.0,0.8454,0.0
76897,KR,1055,49,21.53,1,0,1,2,1,1,6,0.9479,0.0,0.9479,1.8957,0.9479,0.9479,5.6872,0.9881,9.4787
19178,KR,193,14,13.79,0,0,0,2,1,3,0,0.0,0.0,0.0,10.3627,5.1813,15.544,0.0,0.8476,10.3627
57235,KR,564,22,25.64,0,0,0,8,3,0,2,0.0,0.0,0.0,14.1844,5.3191,0.0,3.5461,0.539,8.8652
91420,KR,1565,53,29.53,1,0,1,16,7,0,0,0.639,0.0,0.639,10.2236,4.4728,0.0,0.0,0.4076,5.1118
71086,KR,609,13,46.85,1,0,1,6,1,5,0,1.642,0.0,1.642,9.8522,1.642,8.2102,0.0,0.995,1.642
14839,KR,5081,103,49.33,5,0,5,49,30,1,0,0.9841,0.0,0.9841,9.6438,5.9043,0.1968,0.0,0.2468,0.7872
77843,KR,645,7,92.14,1,0,1,5,2,5,0,1.5504,0.0,1.5504,7.7519,3.1008,7.7519,0.0,0.5132,3.1008
22023,KR,936,11,85.09,0,0,0,13,7,3,0,0.0,0.0,0.0,13.8889,7.4786,3.2051,0.0,0.2291,0.0
75090,KR,135,5,27.0,0,0,0,2,1,0,0,0.0,0.0,0.0,14.8148,7.4074,0.0,0.0,0.4459,7.4074
110015,KR,363,16,22.69,0,0,0,8,4,1,0,0.0,0.0,0.0,22.0386,11.0193,2.7548,0.0,0.6947,5.5096
